Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,Category,Sub-Category
CA-198797,2024-10-06,2025-05-01,Second Class,CUST-4170,Ruben Ramirez,Home Office,South,Technology,Copiers
CA-233440,2023-06-12,2025-05-05,First Class,CUST-1196,Jesse Ortega,Home Office,Central,Furniture,Furnishings
CA-691533,2024-04-18,2025-04-24,Standard Class,CUST-2985,Kathryn Castro,Corporate,East,Furniture,Chairs
CA-277218,2023-11-02,2025-05-07,First Class,CUST-2412,Sharon Taylor,Consumer,South,Office Supplies,Labels
CA-311967,2023-07-15,2025-04-14,First Class,CUST-3728,David Murillo,Corporate,South,Office Supplies,Binders
CA-990541,2023-09-20,2025-04-17,Same Day,CUST-6746,Gabriel Donaldson,Home Office,East,Office Supplies,Storage
CA-500069,2024-11-03,2025-05-08,Standard Class,CUST-6658,Colleen Rose,Corporate,West,Office Supplies,Storage
CA-701472,2023-08-12,2025-04-23,First Class,CUST-4421,Grant Garcia,Home Office,East,Office Supplies,Storage
CA-670780,2024-12-11,2025-04-28,Second Class,CUST-8240,Mr. Robert Le Jr.,Home Office,South,Office Supplies,Storage
CA-497042,2025-03-21,2025-04-17,Second Class,CUST-8318,Ryan Alvarez,Corporate,South,Furniture,Furnishings
CA-438588,2024-06-24,2025-05-04,Second Class,CUST-6579,Jamie Clark,Consumer,Central,Furniture,Chairs
CA-110647,2023-11-27,2025-05-06,First Class,CUST-5407,Mark Wright,Corporate,South,Office Supplies,Binders
CA-450439,2024-09-23,2025-04-12,First Class,CUST-2133,Tyler Flores,Home Office,Central,Office Supplies,Labels
CA-541703,2024-08-10,2025-04-22,First Class,CUST-4767,Ashley Harrington,Home Office,East,Office Supplies,Binders
CA-868444,2024-12-31,2025-04-26,Same Day,CUST-7568,Taylor Day,Consumer,South,Office Supplies,Paper
CA-243523,2023-11-26,2025-05-04,Standard Class,CUST-8297,Stephen Meza,Consumer,South,Furniture,Bookcases
CA-542569,2024-10-25,2025-04-18,First Class,CUST-3337,Lauren Gonzalez,Home Office,Central,Furniture,Furnishings
CA-556978,2023-12-14,2025-04-30,Standard Class,CUST-7804,Jessica Taylor,Consumer,South,Furniture,Chairs
CA-999214,2025-02-13,2025-04-22,Standard Class,CUST-6138,Frank Butler,Home Office,East,Furniture,Chairs
CA-947973,2025-01-05,2025-05-05,Standard Class,CUST-1524,Robin Martinez,Corporate,West,Office Supplies,Binders
CA-431867,2023-09-02,2025-05-07,First Class,CUST-3050,Katherine Rodriguez,Corporate,Central,Technology,Copiers
CA-673639,2024-12-08,2025-05-06,Standard Class,CUST-9800,Monica Williams,Consumer,South,Furniture,Tables
CA-129071,2024-06-15,2025-04-23,Same Day,CUST-9684,Ashley James DDS,Home Office,East,Technology,Accessories
CA-216070,2025-01-21,2025-04-12,Same Day,CUST-9869,Kathleen Allen,Corporate,East,Furniture,Furnishings
CA-758620,2024-07-10,2025-04-25,Standard Class,CUST-7646,Ashley Wilkerson,Consumer,Central,Technology,Accessories
CA-313149,2023-11-25,2025-04-24,Same Day,CUST-6363,Lori Bradford,Consumer,Central,Office Supplies,Labels
CA-893613,2025-03-27,2025-05-04,Same Day,CUST-4737,Brenda Newman,Corporate,Central,Office Supplies,Paper
CA-616111,2024-07-16,2025-04-30,Standard Class,CUST-2965,Anthony Lamb,Consumer,East,Furniture,Chairs
CA-930209,2024-11-13,2025-04-15,Same Day,CUST-2863,Mr. Brad Price,Corporate,East,Technology,Copiers
CA-522549,2024-07-21,2025-04-24,First Class,CUST-4773,Valerie Ellis,Home Office,Central,Office Supplies,Art
CA-844927,2023-05-10,2025-04-21,Same Day,CUST-5259,Taylor Jensen,Home Office,East,Office Supplies,Art
CA-419746,2025-03-14,2025-04-11,Second Class,CUST-5622,Jennifer Floyd,Consumer,West,Furniture,Furnishings
CA-651123,2024-05-04,2025-04-29,Same Day,CUST-5600,Jessica Owens,Consumer,West,Technology,Phones
CA-722089,2024-08-13,2025-04-28,Second Class,CUST-6388,Jimmy Macdonald,Corporate,South,Office Supplies,Labels
CA-583454,2024-02-11,2025-04-12,Standard Class,CUST-2342,Timothy Hayes,Corporate,West,Furniture,Chairs
CA-494199,2023-06-01,2025-05-06,Standard Class,CUST-5349,Laurie Richards DDS,Consumer,South,Office Supplies,Art
CA-191307,2023-07-10,2025-05-07,Second Class,CUST-4475,Rebecca Stewart,Corporate,Central,Technology,Accessories
CA-280002,2023-10-08,2025-04-15,Standard Class,CUST-9835,Kelli Hill,Home Office,Central,Office Supplies,Storage
CA-975721,2024-05-11,2025-04-16,First Class,CUST-2230,Terry Day,Consumer,South,Furniture,Tables
CA-506300,2023-11-22,2025-04-24,Same Day,CUST-4920,Zachary Jackson,Corporate,South,Furniture,Tables
CA-485607,2024-05-26,2025-05-07,Second Class,CUST-2209,Tanner Wood,Consumer,South,Technology,Phones
CA-143170,2024-10-07,2025-04-26,First Class,CUST-2680,Martha Hill,Home Office,East,Office Supplies,Storage
CA-939132,2023-06-21,2025-04-20,Same Day,CUST-6110,Nichole Foster,Home Office,West,Office Supplies,Art
CA-453305,2023-11-05,2025-04-19,Second Class,CUST-4301,Garrett Lewis,Home Office,West,Technology,Copiers
CA-996661,2023-10-16,2025-04-17,Standard Class,CUST-8931,Jessica Jimenez,Home Office,East,Technology,Copiers
CA-983053,2024-04-08,2025-05-06,Same Day,CUST-5866,Emily Castillo,Home Office,South,Office Supplies,Art
CA-331546,2024-01-04,2025-04-29,Same Day,CUST-2704,Susan Aguirre,Home Office,South,Furniture,Tables
CA-751157,2023-05-05,2025-04-12,Standard Class,CUST-1993,Scott Marshall,Consumer,Central,Technology,Copiers
CA-753275,2023-10-27,2025-04-15,Second Class,CUST-8240,Bryan Walker,Corporate,West,Furniture,Bookcases
CA-700307,2023-07-14,2025-04-16,Same Day,CUST-1189,Nicole Smith,Home Office,West,Furniture,Bookcases
CA-771019,2023-11-05,2025-04-09,Standard Class,CUST-5015,Spencer Gonzalez,Corporate,Central,Office Supplies,Labels
CA-920667,2025-01-28,2025-05-03,First Class,CUST-4293,Teresa Palmer,Consumer,Central,Technology,Phones
CA-692012,2024-03-15,2025-04-10,First Class,CUST-7611,David Thomas,Consumer,Central,Technology,Accessories
CA-682488,2023-07-19,2025-04-10,Same Day,CUST-9697,Edward Olson,Corporate,South,Office Supplies,Binders
CA-898310,2023-10-01,2025-05-02,Same Day,CUST-4524,Francisco Newman,Consumer,South,Office Supplies,Paper
CA-670658,2025-04-06,2025-04-23,First Class,CUST-3446,Stacey Gibson,Consumer,Central,Office Supplies,Binders
CA-499204,2024-02-07,2025-04-24,First Class,CUST-3550,David Taylor,Home Office,South,Technology,Phones
CA-517834,2025-01-06,2025-04-19,Standard Class,CUST-6927,Benjamin Francis,Corporate,East,Office Supplies,Binders
CA-170330,2023-09-21,2025-04-14,Same Day,CUST-7991,Joshua Shaffer,Corporate,East,Technology,Copiers
CA-751585,2023-05-05,2025-04-10,Second Class,CUST-5636,Ryan Barker,Consumer,Central,Technology,Computers
CA-755148,2024-07-29,2025-04-11,First Class,CUST-6986,Mr. Nathaniel Lane,Home Office,Central,Office Supplies,Art
CA-533214,2023-08-03,2025-04-19,Same Day,CUST-3508,James Miller,Consumer,West,Office Supplies,Labels
CA-955012,2024-09-23,2025-04-29,Same Day,CUST-6198,Jonathan Alexander,Corporate,Central,Office Supplies,Art
CA-636606,2023-09-09,2025-04-20,Standard Class,CUST-2732,Michael Waters,Corporate,Central,Technology,Copiers
CA-206862,2025-02-02,2025-04-15,First Class,CUST-5425,Peter Chandler,Consumer,West,Technology,Machines
CA-532183,2023-05-13,2025-04-14,Standard Class,CUST-2031,Dr. Danielle Bowman,Consumer,South,Furniture,Chairs
CA-310081,2023-07-24,2025-04-21,Second Class,CUST-2642,Brandy Nunez,Home Office,West,Office Supplies,Paper
CA-478618,2023-12-25,2025-05-05,Second Class,CUST-2565,Monica Johnson,Home Office,Central,Technology,Accessories
CA-686654,2024-01-23,2025-04-25,Same Day,CUST-4919,Julie Sanders,Home Office,West,Office Supplies,Art
CA-855292,2023-07-12,2025-04-30,Standard Class,CUST-7648,Craig Scott,Home Office,Central,Furniture,Chairs
CA-375548,2024-03-14,2025-04-23,First Class,CUST-9612,Brenda Gardner,Consumer,East,Technology,Accessories
CA-419641,2023-08-02,2025-04-26,First Class,CUST-9947,David Thompson,Home Office,West,Technology,Computers
CA-161969,2023-06-12,2025-04-18,First Class,CUST-9796,Robin Martin,Corporate,West,Technology,Machines
CA-325358,2024-12-10,2025-04-18,Second Class,CUST-5429,Nathan Alvarez,Consumer,East,Furniture,Bookcases
CA-160344,2023-06-25,2025-04-10,First Class,CUST-4747,Brian Walker,Consumer,Central,Furniture,Tables
CA-559621,2025-03-11,2025-05-04,Standard Class,CUST-4209,Jacqueline Harris,Consumer,Central,Furniture,Chairs
CA-275434,2024-09-23,2025-04-27,Same Day,CUST-1755,Franklin Villanueva,Consumer,South,Office Supplies,Storage
CA-677772,2024-12-14,2025-04-17,Standard Class,CUST-9825,Katelyn Simpson,Corporate,Central,Office Supplies,Binders
CA-721019,2024-03-12,2025-05-08,Same Day,CUST-2581,David Sparks,Consumer,South,Technology,Phones
CA-643126,2024-12-11,2025-04-14,First Class,CUST-3311,Pamela Ball,Consumer,East,Furniture,Chairs
CA-747599,2023-10-27,2025-04-30,Standard Class,CUST-8262,Ronald Brown,Corporate,Central,Office Supplies,Paper
CA-532723,2023-06-09,2025-05-01,First Class,CUST-1739,Emily Gonzalez,Consumer,Central,Furniture,Bookcases
CA-380423,2024-06-23,2025-05-07,Standard Class,CUST-8775,Katherine Delgado,Corporate,South,Office Supplies,Paper
CA-361103,2024-01-09,2025-05-03,Same Day,CUST-9281,Katrina Meyers,Corporate,Central,Furniture,Chairs
CA-785894,2023-08-24,2025-04-27,Second Class,CUST-3949,Beverly Butler,Corporate,East,Furniture,Tables
CA-247375,2024-10-30,2025-04-10,Standard Class,CUST-2832,Edward Young,Consumer,East,Office Supplies,Art
CA-852164,2023-06-30,2025-05-08,Same Day,CUST-5973,Megan Hopkins,Consumer,East,Office Supplies,Storage
CA-785588,2023-12-14,2025-04-19,Standard Class,CUST-3968,Tonya Morrison,Consumer,West,Technology,Copiers
CA-750103,2024-10-09,2025-05-05,Standard Class,CUST-3412,Michael Smith,Corporate,West,Furniture,Furnishings
CA-985413,2024-07-05,2025-05-01,First Class,CUST-5520,Danny Blair,Consumer,South,Office Supplies,Labels
CA-886754,2025-02-14,2025-05-02,First Class,CUST-8157,Francisco Saunders,Corporate,South,Office Supplies,Binders
CA-178998,2024-03-02,2025-04-27,Second Class,CUST-5776,Justin Thompson,Consumer,South,Office Supplies,Binders
CA-611227,2024-08-25,2025-04-12,First Class,CUST-8181,Mr. John Walker,Corporate,East,Furniture,Chairs
CA-501451,2023-07-16,2025-04-29,First Class,CUST-3025,Alicia Dunn,Corporate,East,Technology,Accessories
CA-292577,2024-12-12,2025-04-26,Same Day,CUST-3744,Kelly Martinez,Corporate,West,Technology,Machines
CA-291201,2023-12-12,2025-04-10,First Class,CUST-9756,Curtis Stevens,Consumer,South,Technology,Phones
CA-202956,2023-12-10,2025-04-29,Second Class,CUST-5504,Michael Sweeney,Corporate,Central,Furniture,Tables
CA-811063,2025-04-08,2025-04-26,Second Class,CUST-7490,Thomas Carpenter,Home Office,West,Furniture,Chairs
CA-859314,2024-12-25,2025-04-27,First Class,CUST-2199,Alyssa Tyler,Corporate,West,Furniture,Chairs
CA-435699,2025-02-02,2025-04-17,Same Day,CUST-2974,David Peterson,Corporate,West,Technology,Accessories
CA-882359,2024-04-12,2025-04-14,First Class,CUST-2097,Caleb Cline,Corporate,East,Technology,Copiers
CA-866167,2024-06-11,2025-05-02,First Class,CUST-9732,Wayne Bowen,Home Office,East,Office Supplies,Storage
CA-424086,2023-08-07,2025-05-08,Standard Class,CUST-1265,Scott Hopkins,Consumer,West,Office Supplies,Paper
CA-841271,2024-12-21,2025-04-12,Second Class,CUST-1917,Travis Burns,Consumer,Central,Office Supplies,Labels
